Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,151.73499722444487,149.41260121351263,150.1506125413368,150.49671415301123,150.49671415301123,3524714
2020-01-02,150.37972142857612,153.08314650160116,149.3311364719886,150.35844985184005,150.35844985184005,1903282
2020-01-03,151.3149714025397,151.71869087054037,150.05350909248517,151.00613838994073,151.00613838994073,1177946
2020-01-06,154.23138319098402,153.8164971507518,153.1113450096949,152.52916824634877,152.52916824634877,1943652
2020-01-07,152.535768051114,153.2495026263242,152.23541378810978,152.29501487162543,152.29501487162543,2080109
2020-01-08,154.66256102885663,152.63664158127818,151.6216388216561,152.06087791467624,152.06087791467624,1894576
2020-01-09,154.20560037581518,154.07025780194488,154.67631123303957,153.64009073018363,153.64009073018363,4530274
2020-01-10,152.64676270018072,155.73703419490954,153.3600319910849,154.40752545933654,154.40752545933654,1864899
2020-01-13,154.69139269450613,153.42087737672992,153.18712291805463,153.9380510734016,153.9380510734016,1263503
2020-01-14,154.86176950187036,156.23119028450935,155.15350501829914,154.48061111698757,154.48061111698757,3216271
2020-01-15,155.30694617825785,154.60099901928984,152.61298055889776,154.0171934241751,154.0171934241751,3318292
2020-01-16,154.2246450218748,153.4213943315645,151.8355909259139,153.55146367060485,153.55146367060485,3026393
2020-01-17,153.6549699581871,154.34341308417507,152.566391463306,153.79342594217087,153.79342594217087,4428216
2020-01-20,150.65584746122371,154.13729491437567,151.20421387272205,151.8801456975131,151.8801456975131,4002083
2020-01-21,149.94620460771404,150.61989277798384,148.5637857132482,150.15522786500006,150.15522786500006,1331922
2020-01-22,148.74241988154978,150.95139395396868,147.91271997528239,149.59294033575907,149.59294033575907,3379897
2020-01-23,147.9995857656199,148.84915293970917,147.27270564570495,148.58010921542464,148.58010921542464,2294416
2020-01-24,149.48293495244053,150.65227839794355,148.71896879845468,148.8943565480199,148.8943565480199,2985196
2020-01-27,149.6562369768501,149.6718402112889,146.70973170698753,147.9863324724987,147.9863324724987,4858073
2020-01-28,146.9687003009864,149.42263760445985,144.37854812033794,146.57402877116343,146.57402877116343,4508885
2020-01-29,146.84379447804977,148.86411359458575,147.6363065986967,148.03967754008497,148.03967754008497,4918198
2020-01-30,148.25850390781858,149.48255604435633,144.715961900466,147.81390123959844,147.81390123959844,2560121
2020-01-31,149.07806093093203,148.9794969838253,147.40706037827175,147.88142944428637,147.88142944428637,4438654
2020-02-03,145.84689835375352,148.75255303993592,145.42427424473277,146.4566812580729,146.4566812580729,2683959
2020-02-04,145.7782813668748,146.193466145939,145.58478412955407,145.91229853354773,145.91229853354773,1443035
2020-02-05,146.0379093179868,147.76822643613488,144.79995028733734,146.0232211232576,146.0232211232576,4099072
2020-02-06,144.08732923275306,145.67753024971861,145.61444923847057,144.8722275458353,144.8722275458353,3035115
2020-02-07,145.8962059980248,146.18373738707245,144.79396736299768,145.24792556418095,145.24792556418095,3456419
2020-02-10,144.52633872565437,145.73903935871053,144.73940807461074,144.64728687426216,144.64728687426216,2879466
2020-02-11,144.7751255683759,145.60783352089555,143.22025477657658,144.35559312446887,144.35559312446887,1910657
2020-02-12,142.8663943344374,144.63765746911753,141.75943913673058,143.7538865122395,143.7538865122395,3760592
2020-02-13,145.168706396425,146.82087787991892,143.96015850963386,145.6061646967484,145.6061646967484,2006247
2020-02-14,146.31504882983825,148.17078552957267,146.96432683286938,145.59266747201048,145.59266747201048,1689317
2020-02-17,144.16212339096282,146.5204062286698,141.4928868901267,144.5349565430546,144.5349565430546,4552852
2020-02-18,147.08446530639117,147.22665604765467,144.0622215145369,145.35750145515777,145.35750145515777,1358332
2020-02-19,143.73702161957215,144.6811182791629,143.91315694567976,144.13665780518676,144.13665780518676,1751240
2020-02-20,144.5702061259434,144.45628057196316,143.18839348120056,144.3455214001915,144.3455214001915,1121292
2020-02-21,143.31844210818483,144.3411518345495,141.20966145380905,142.38585127631174,142.38585127631174,1090570
2020-02-24,139.63929949448027,142.9337120199431,140.72451394436487,141.0576652274133,141.0576652274133,3581692
2020-02-25,139.49371765130164,143.7271971390334,140.05660979594035,141.25452646328242,141.25452646328242,1995791
2020-02-26,140.46733672870775,142.3890124173086,141.60046533089815,141.99299304327783,141.99299304327783,3220943
2020-02-27,143.426945427895,142.93481266910746,141.56872331715783,142.16436132446782,142.16436132446782,4062138
2020-02-28,141.4968548961871,141.40922887955412,141.73499217783464,142.04871304207956,142.04871304207956,2541121
2020-03-02,144.30580863215852,142.3551382404294,142.18028063622992,141.74760934649026,141.74760934649026,3612841
2020-03-03,139.70483975746544,142.2656578667023,139.12325088590745,140.26908735612284,140.26908735612284,2960299
2020-03-04,139.73379445092516,140.08274776849993,137.96394371121178,139.54924314772813,139.54924314772813,1884807
